,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
binedge,0.0,8.553384377590874e-06,3.4213537510363495e-05,7.698045939831786e-05,0.00013685415004145398,0.00021383460943977185,0.00030792183759327144,0.0004191158345019528,0.0005474166001658159,0.0006928241345848609,0.0008553384377590874,0.0010349595096884956,0.0012316873503730858,0.0014455219598128576,0.0016764633380078112,0.0019245114849579465,0.0021896664006632637,0.0024719280851237626,0.0027712965383394437,0.0030877717603103056,0.0034213537510363497,0.0037720425105175755,0.0041398380387539825,0.004524740335745572,0.004926749401492343,0.005345865235994296,0.0057820878392514305,0.006235417211263748,0.006705853352031245,0.0071933962615539256,0.007698045939831786,0.008219802386864828,0.008758665602653055,0.009314635587196463,0.00988771234049505,0.01047789586254882,0.011085186153357775,0.011709583212921905,0.012351087041241222,0.01300969763831572,0.013685415004145399,0.01437823913873026,0.015088170042070302,0.015815207714165523,0.01655935215501593,0.01732060336462152,0.01809896134298229,0.01889442609009824,0.019706997605969372,0.020536675890595688,0.021383460943977185
bincenter,4.276692188795437e-06,2.1383460943977183e-05,5.559699845434068e-05,0.00010691730471988593,0.00017534437974061292,0.0002608782235165217,0.0003635188360476121,0.0004832662173338844,0.0006201203673753384,0.0007740812861719742,0.0009451489737237915,0.0011333234300307908,0.0013386046550929718,0.0015609926489103345,0.001800487411482879,0.002057088942810605,0.0023307972428935134,0.002621612311731603,0.0029295341493248746,0.0032545627556733276,0.0035966981307769628,0.003955940274635779,0.004332289187249778,0.004725744868618958,0.00513630731874332,0.005563976537622863,0.006008752525257589,0.006470635281647496,0.006949624806792586,0.007445721100692856,0.007958924163348306,0.00848923399475894,0.009036650594924759,0.009601173963845758,0.010182804101521935,0.010781541007953296,0.01139738468313984,0.012030335127081564,0.012680392339778471,0.01334755632123056,0.014031827071437828,0.01473320459040028,0.015451688878117913,0.016187279934590727,0.016939977759818724,0.017709782353801905,0.018496693716540266,0.019300711848033808,0.02012183674828253,0.020960068417286436,
Ybinmn,0.0,0.0,0.0072128995670937,0.01036447423791742,0.0033129076543332303,0.011261298858102009,0.010627117863506279,0.013149229552377406,0.020723675157410783,0.01371993754007351,0.0261993128775882,0.03312016982955406,0.039755219113353744,0.04006962442372614,0.048984470345361006,0.041711676283539785,0.038561347018549616,0.04719403338278123,0.05890105717145808,0.06317985424972854,0.07529197935241203,0.08749231467619509,0.11172221219475176,0.11767244012655587,0.13208429787999124,0.14633860923436418,0.1664957353315885,0.1685299636290603,0.23585863100667795,0.21784826093505585,0.23778375050957348,0.2796192967757667,0.29899516017195577,0.366377476854505,0.4444313017031245,0.42272561863443575,0.5062541621833253,0.5142320780919585,0.5246018063023752,0.5098966740911014,0.601038756393324,0.6200863751684033,0.6614593361446168,0.7543943687342107,0.7296900459798052,0.794538355153054,0.7489885268732905,0.8668781835585833,0.8594506326286743,0.7280290067816774,
Ybinstd,0.0,0.0,0.0,0.006572071390434579,0.0030673725156332332,0.019226971868090283,0.010667585805790629,0.014104185992854115,0.027170257663429773,0.015403149423568394,0.030127769972554026,0.0362923990242769,0.03969098994305151,0.05803719538646201,0.04605857355613458,0.03220607852612469,0.03105508815979967,0.03619982341494111,0.05456622249509304,0.045603088013594716,0.06978582535862908,0.07669853680693935,0.07735506130442793,0.08398232423260467,0.09286800450520455,0.1146997545645714,0.1305082708872673,0.1110303638153576,0.16889792486061161,0.15577254344046113,0.16209870694070316,0.17662679937748227,0.2086721444221177,0.23177212758728655,0.2151043383670595,0.1930672827356199,0.21088554287848044,0.23930314642228692,0.2647300488552281,0.16341304606055052,0.2509680555183156,0.1464688312972731,0.2691513098774865,0.22311480306977494,0.163308186686528,0.16638021545328854,0.2306657747619861,0.28841175331718216,0.21745083539095297,0.05522367583033044,
oobpara,-0.08850128668949903,48.288883582261334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
